created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Tue Nov 14 03:41:00 +0000 2023,1724271184966275551,"Former Election Commissioner of India, Ashok Lavasa’s take on controversial electoral bonds. https://t.co/idUkd7MpyV",0,8,80,184,en,3226012897,1724271184966275551,GunasekaranMu,https://twitter.com/GunasekaranMu/status/1724271184966275551,
Tue Nov 14 03:33:03 +0000 2023,1724269182055764224,IT'LL COST HOW MU- https://t.co/cQ1VhilXiz,0,6,8,187,en,585698813,1724269182055764224,EpicNNG,https://twitter.com/EpicNNG/status/1724269182055764224,
Tue Nov 14 01:25:04 +0000 2023,1724236976134447187,"@thegameawards Getting community noted when theres a jury that literally are experts"" on this  is pretty telling💀💀💀""",0,12,41,1904,en,1637206270930296833,1724110877522043092,Mu5tachedGames,https://twitter.com/Mu5tachedGames/status/1724236976134447187,thegameawards
Mon Nov 13 23:59:47 +0000 2023,1724215513163743649,"#JUNGKOOK - LIVE AT 'TSX' Times Square, NYC - OFFICIAL VIDEO 🔗https://t.co/KvfS2rpPKv https://t.co/Ye3QLzY1hE",13,1,280,515,en,1005726739891228672,1724215513163743649,KooMu_twt,https://twitter.com/KooMu_twt/status/1724215513163743649,
Mon Nov 13 23:17:02 +0000 2023,1724204756707553561,"#PrinceAndrew’s pal found guilty of sexually assaulting 4 women.  #PeterNygard — aka 'the Canadian Jeffrey Epstein' — was also accused of organising the rape of his sons, then aged 14 and 16.  Rapists and pedophiles, the entourage of the British #RoyalFamily 🤮 https://t.co/NZcrMvS9uK",5,11,76,174,en,1025035651580928005,1724204756707553561,Mu_Ri_Elle,https://twitter.com/Mu_Ri_Elle/status/1724204756707553561,
Mon Nov 13 22:12:40 +0000 2023,1724188558183813343,I'm Not Okay (I Promise) by My Chemical Romance ♩ https://t.co/NvWzGbEJut,227,25,2255,6656,en,1703868558835400705,1724188558183813343,xXMu3icl0v3rXx,https://twitter.com/xXMu3icl0v3rXx/status/1724188558183813343,
Mon Nov 13 19:59:33 +0000 2023,1724155057476616583,Appreciate all the Recruits &amp  their families for joining us in Huntington this weekend as we Honored the 7️⃣5️⃣❕  #WeAreMarshall 🟢⚪️⚫️ https://t.co/CGWRzhqV7A,1,42,17,258,en,37501915,1724155057476616583,LoganM_MU,https://twitter.com/LoganM_MU/status/1724155057476616583,
Mon Nov 13 19:29:31 +0000 2023,1724147496954323241,"@Mu_Ri_Elle J. Whitaker Unless you are born into that family, you are a royal blood, you are always totally expendable in their eyes. The Windsorsare utterly ruthless. They will get rid of people, and this include people who marry into them."" Snaps fingers, says 'in the blink of an eye. https://t.co/Hs7zWHKQ12""",14,21,118,261,en,1372657883192627202,1723767762919580105,DrDobberstein,https://twitter.com/DrDobberstein/status/1724147496954323241,Mu_Ri_Elle
Mon Nov 13 18:06:16 +0000 2023,1724126550126186582,Marshall Mens Soccer is The Number 1 overall seed in this years NCAA Tournament!     https://t.co/iTZyDkIq2m,3,1,26,200,en,2511218569,1724126550126186582,BarstoolMU,https://twitter.com/BarstoolMU/status/1724126550126186582,
Mon Nov 13 17:29:30 +0000 2023,1724117297378308452,u can only keep 3 albums •_• (pt.7) https://t.co/bbccARtrxq,264,65,25,545,en,1703868558835400705,1724117297378308452,xXMu3icl0v3rXx,https://twitter.com/xXMu3icl0v3rXx/status/1724117297378308452,
